dataset,engine,metric,mean,std
grape_berry,TVAE,corr_dist,0.5387468225138262,0.10859574579399782
grape_berry,TVAE,mean_ks,0.0842045243259994,0.015770422351893833
grape_berry,TVAE,energy_dist,0.03341732896476497,0.017952057837110864
grape_berry,TVAE,mmd,0.0036681837823337115,0.002109356066081844
grape_berry,MCMC,corr_dist,1.1474219236600718,0.17362236308242956
grape_berry,MCMC,mean_ks,0.05830598078710877,0.012760281174975205
grape_berry,MCMC,energy_dist,0.053248484417025656,0.006601508177497014
grape_berry,MCMC,mmd,0.005344764908333533,0.0012368866752761076
grape_berry,PI-VAE,corr_dist,0.3214720351325122,0.15261467330003842
grape_berry,PI-VAE,mean_ks,0.04990325379609544,0.006076760903424078
grape_berry,PI-VAE,energy_dist,0.017378618254601897,0.005564510973736024
grape_berry,PI-VAE,mmd,0.0016192898561523616,0.000991517565219735
apple_samnegard,CTGAN,corr_dist,3.5684106433651905,0.206129770347101
apple_samnegard,CTGAN,mean_ks,0.2939899350649351,0.05065171170196199
apple_samnegard,CTGAN,energy_dist,0.966845328578799,0.31005992659963794
apple_samnegard,CTGAN,mmd,0.10258911547480318,0.03563397946914822
apple_samnegard,TVAE,corr_dist,1.5962225268504717,0.2695977794708353
apple_samnegard,TVAE,mean_ks,0.16168051948051948,0.01638727872625948
apple_samnegard,TVAE,energy_dist,0.14531502203792082,0.022362306918721046
apple_samnegard,TVAE,mmd,0.02456186454808642,0.005778743147325185
apple_samnegard,MCMC,corr_dist,1.0610803263975401,0.2121279427307121
apple_samnegard,MCMC,mean_ks,0.13020422077922078,0.025784386376661462
apple_samnegard,MCMC,energy_dist,0.11686034436485251,0.04123011138590734
apple_samnegard,MCMC,mmd,0.014447726304058151,0.005489218837286785
apple_samnegard,PI-VAE,corr_dist,0.9233972777278605,0.19898820910168208
apple_samnegard,PI-VAE,mean_ks,0.12463733766233767,0.02198644893910446
apple_samnegard,PI-VAE,energy_dist,0.08938988413062514,0.031824996719717676
apple_samnegard,PI-VAE,mmd,0.010428762287823102,0.0045294166877793
mango_composition,CTGAN,corr_dist,0.4814263267348652,0.10498179974417007
mango_composition,CTGAN,mean_ks,0.24734285714285714,0.05605730182978281
mango_composition,CTGAN,energy_dist,0.3755281092021252,0.1545028566041482
mango_composition,CTGAN,mmd,0.0692483501088259,0.027920913209065305
mango_composition,TVAE,corr_dist,0.4195484918839251,0.16779861780061636
mango_composition,TVAE,mean_ks,0.2196952380952381,0.03217310041047762
mango_composition,TVAE,energy_dist,0.20801616349686505,0.08584670807511285
mango_composition,TVAE,mmd,0.05919337615815059,0.01912883841640823
mango_composition,MCMC,corr_dist,0.3710303486259942,0.231071662162961
mango_composition,MCMC,mean_ks,0.1383714285714286,0.039816535039918215
mango_composition,MCMC,energy_dist,0.05995805603356361,0.028471307831246396
mango_composition,MCMC,mmd,0.010835582204377702,0.005534346425252604
mango_composition,PI-VAE,corr_dist,0.34782586952154304,0.22495533675253568
mango_composition,PI-VAE,mean_ks,0.13621904761904763,0.03595248502034764
mango_composition,PI-VAE,energy_dist,0.0631190659814096,0.04581507675647255
mango_composition,PI-VAE,mmd,0.010641183917495712,0.00883975530429328
biofood_safou_region,CTGAN,corr_dist,2.314364006696217,0.3230515721464589
biofood_safou_region,CTGAN,mean_ks,0.36710000000000004,0.1233334356675038
biofood_safou_region,CTGAN,energy_dist,1.0670116360600777,0.7474597821355577
biofood_safou_region,CTGAN,mmd,0.16710396464816374,0.10837302250723353
biofood_safou_region,TVAE,corr_dist,1.3612083362414666,0.21455111077218839
biofood_safou_region,TVAE,mean_ks,0.28841538461538463,0.0826878303796841
biofood_safou_region,TVAE,energy_dist,0.3596539292740587,0.19662349024220221
biofood_safou_region,TVAE,mmd,0.06960105896310016,0.03253783787044522
biofood_safou_region,MCMC,corr_dist,0.27377682232794537,0.17499235220581683
