dataset,cell,metric,mean,std
grape_berry,PI-VAE+calib,energy_dist,0.022724480766505285,0.00857448557970665
grape_berry,PI-VAE+calib,coverage_at_90,0.8998450573287883,0.004725726071449169
grape_berry,PI-VAE+calib,calib_err,0.02074286402919808,0.0025964652422123973
apple_samnegard,VAE,corr_dist,1.3102546718753376,0.32176428919387134
apple_samnegard,VAE,mean_ks,0.13436590909090912,0.028429785831477535
apple_samnegard,VAE,energy_dist,0.11398372803771224,0.0486955907402009
apple_samnegard,VAE,coverage_at_90,0.8925324675324674,0.019679717481417794
apple_samnegard,VAE,calib_err,0.05518759018759019,0.008981337225258405
apple_samnegard,VAE+calib,corr_dist,1.3056116728784954,0.32101055810527346
apple_samnegard,VAE+calib,mean_ks,0.12463733766233767,0.01966527776466628
apple_samnegard,VAE+calib,energy_dist,0.09761032262375027,0.03353373128325928
apple_samnegard,VAE+calib,coverage_at_90,0.9103896103896105,0.01852072817785929
apple_samnegard,VAE+calib,calib_err,0.054814213564213565,0.0046012411010287494
apple_samnegard,PI-VAE-calib,corr_dist,0.9189067172689687,0.16983850453485141
apple_samnegard,PI-VAE-calib,mean_ks,0.1356873376623377,0.026592408057587263
apple_samnegard,PI-VAE-calib,energy_dist,0.12281124518888031,0.05003823377865169
apple_samnegard,PI-VAE-calib,coverage_at_90,0.9077922077922078,0.02020826794752652
apple_samnegard,PI-VAE-calib,calib_err,0.05411255411255411,0.005101815602662032
apple_samnegard,PI-VAE+calib,corr_dist,0.9084326421183386,0.16547582613235462
apple_samnegard,PI-VAE+calib,mean_ks,0.12463733766233767,0.01966527776466628
apple_samnegard,PI-VAE+calib,energy_dist,0.09005169928655957,0.0310526364402261
apple_samnegard,PI-VAE+calib,coverage_at_90,0.9103896103896105,0.01852072817785929
apple_samnegard,PI-VAE+calib,calib_err,0.054814213564213565,0.0046012411010287494
